team_name,team_id,month,total_market,competitor_demand,firm_demand,competitor_price,beginning_inventory,arrival_qty,units_sold,ending_inventory,in_transit,production_order,pipeline_units,months_of_cover,forecast_error,service_level,revenue_amt,cogs_amt,inventory_holding_amt,stockout_penalty_amt,forecast_made,price,ai_price,ai_forecast_qty,ai_production_order,unit_cost,revenue_growth,gross_margin,operating_profit,market_share,ms_momentum,ms_momentum_3mo,rpi,missed_demand,stockout_rate,fill_rate,ape,forecast_accuracy,mape,forecast_accuracy_avg,forecast_bias,avg_inventory,inventory_turnover,inventory_turnover_annualized,price_elasticity,cps,ppi
Team 1B,2,7,268.0,225,43,76.0,0,0,0,0,130,50,130.0,2.653061224489796,-6,0.0,0.0,0.0,0.0,860.0,49,150.0,85.0,59,150,,-1.0,,-860.0,0.16044776119402984,-0.46760101929377507,-0.036023585774829565,0.9736842105263158,43,1.0,0.0,0.13953488372093023,0.8604651162790697,0.3296086735985136,0.6703913264014865,13.916666666666666,0.0,,,-0.7617625093353249,0.45529572931235995,
Team 1B,2,8,322.0,231,91,83.0,0,80,80,0,100,50,100.0,1.818181818181818,36,0.8791208791208791,8720.0,4000.0,0.0,220.0,55,109.0,113.0,55,100,50.0,,0.5412844036697247,4500.0,0.2826086956521739,0.12216093445814405,-0.09982695219554404,0.3132530120481928,11,0.12087912087912088,0.8791208791208791,0.3956043956043956,0.6043956043956045,0.3296086735985136,0.6703913264014865,13.916666666666666,0.0,,,-4.0839478162223495,-0.03826728067363549,0.4758544208085492
Team 1B,2,9,384.0,320,64,91.0,0,50,50,0,150,100,150.0,3.658536585365854,23,0.78125,7500.0,2500.0,0.0,280.0,41,150.0,96.0,46,100,50.0,-0.13990825688073394,0.6666666666666666,4720.0,0.16666666666666666,-0.11594202898550723,-0.1537940379403794,0.6483516483516484,14,0.21875,0.78125,0.359375,0.640625,0.3296086735985136,0.6703913264014865,13.916666666666666,0.0,,,-0.7887965692843741,0.07517120560598821,0.46672077922077915
Team 1B,2,10,302.0,252,50,100.0,0,50,50,0,180,80,180.0,2.8125,-14,1.0,7500.0,2500.0,0.0,0.0,64,150.0,81.0,64,150,50.0,0.0,0.6666666666666666,5000.0,0.16556291390728478,-0.0011037527593818763,0.001705050904418313,0.5,0,0.0,1.0,0.28,0.72,0.3296086735985136,0.6703913264014865,13.916666666666666,0.0,,,,0.0005518763796909382,0.6659316427783903
Team 1B,2,11,350.0,232,118,110.0,0,100,100,0,80,0,80.0,1.0666666666666669,43,0.847457627118644,12100.0,5000.0,0.0,360.0,75,121.0,125.0,71,150,50.0,0.6133333333333333,0.5867768595041323,6740.0,0.33714285714285713,0.17157994323557235,0.018178053830227747,0.1,18,0.15254237288135594,0.847457627118644,0.3644067796610169,0.6355932203389831,0.3296086735985136,0.6703913264014865,13.916666666666666,0.0,,,-7.034482758620688,-0.017157994323557236,0.4972685250035019
Team 1B,2,12,400.0,294,106,121.0,0,80,80,0,0,0,0.0,0.0,26,0.7547169811320755,12000.0,4000.0,0.0,520.0,80,150.0,115.0,82,250,50.0,-0.008264462809917328,0.6666666666666666,7480.0,0.265,-0.07214285714285712,0.03277777777777779,0.2396694214876033,26,0.24528301886792453,0.7547169811320755,0.24528301886792453,0.7547169811320755,0.3296086735985136,0.6703913264014865,13.916666666666666,0.0,,,-0.42431326709526557,0.017290436835891376,0.4692888179368891
Team 2A,3,1,66.0,29,37,100.0,100,0,37,63,120,120,183.0,4.066666666666666,-8,1.0,3515.0,1850.0,630.0,0.0,45,95.0,100.0,33,100,50.0,,0.47368421052631576,1035.0,0.5606060606060606,,,-0.05,0,0.0,1.0,0.21621621621621623,0.7837837837837838,0.2090517845603146,0.7909482154396854,11.166666666666666,81.5,22.699386503067483,272.3926380368098,,,
Team 2A,3,2,84.0,42,42,85.0,63,0,42,21,220,100,241.0,6.025,2,1.0,3990.0,2100.0,210.0,0.0,40,95.0,95.0,37,0,50.0,0.1351351351351351,0.47368421052631576,1680.0,0.5,-0.06060606060606055,,0.11764705882352941,0,0.0,1.0,0.047619047619047616,0.9523809523809523,0.2090517845603146,0.7909482154396854,11.166666666666666,42.0,50.0,600.0,,0.007130124777183594,0.44661654135338347
Team 2A,3,3,104.0,45,59,85.0,21,120,59,82,200,100,282.0,5.127272727272727,4,1.0,5133.0,2950.0,820.0,0.0,55,87.0,95.0,52,0,50.0,0.28646616541353387,0.42528735632183906,1363.0,0.5673076923076923,0.06730769230769229,,0.023529411764705882,0,0.0,1.0,0.06779661016949153,0.9322033898305084,0.2090517845603146,0.7909482154396854,11.166666666666666,51.5,57.28155339805825,687.3786407766991,-4.806547619047616,-0.0015837104072398186,0.42528735632183906
Team 2A,3,4,108.0,57,51,78.0,82,100,51,131,150,50,281.0,5.97872340425532,4,1.0,4590.0,2550.0,1310.0,0.0,47,90.0,87.0,58,0,50.0,-0.10578609000584449,0.4444444444444444,730.0,0.4722222222222222,-0.09508547008547008,-0.02946127946127945,0.15384615384615385,0,0.0,1.0,0.0784313725490196,0.9215686274509804,0.2090517845603146,0.7909482154396854,11.166666666666666,106.5,23.943661971830984,287.32394366197184,-3.9322033898304998,0.01462853385930309,0.4058536585365853
Team 2A,3,5,134.0,64,70,81.0,131,100,70,161,148,98,309.0,5.15,10,1.0,6090.0,3500.0,1610.0,0.0,60,87.0,90.0,65,0,50.0,0.326797385620915,0.42528735632183906,980.0,0.5223880597014925,0.05016583747927028,0.007462686567164163,0.07407407407407407,0,0.0,1.0,0.14285714285714285,0.8571428571428572,0.2090517845603146,0.7909482154396854,11.166666666666666,146.0,23.972602739726028,287.67123287671234,-11.176470588235297,-0.003715987961427428,0.42528735632183906
Team 2A,3,6,164.0,86,78,78.0,161,50,78,133,198,100,331.0,5.092307692307692,13,1.0,6864.0,3900.0,1330.0,0.0,65,88.0,87.0,72,0,50.0,0.1270935960591133,0.4318181818181818,1634.0,0.47560975609756095,-0.04677830360393154,-0.030565978736710447,0.1282051282051282,0,0.0,1.0,0.16666666666666666,0.8333333333333334,0.2090517845603146,0.7909482154396854,11.166666666666666,147.0,26.53061224489796,318.36734693877554,9.942857142857063,0.005997218410760453,0.4125211425680909
Team 2A,3,7,268.0,109,159,78.0,133,98,159,72,150,50,222.0,2.466666666666667,69,1.0,12084.0,7950.0,720.0,0.0,90,76.0,83.0,94,50,50.0,0.7604895104895104,0.34210526315789475,3414.0,0.5932835820895522,0.11767382599199128,0.04035378662244334,-0.02564102564102564,0,0.0,1.0,0.4339622641509434,0.5660377358490566,0.2090517845603146,0.7909482154396854,11.166666666666666,102.5,77.5609756097561,930.7317073170732,-7.615384615384615,0.0030172775895382377,0.34210526315789475
